id,que,twi_id,retwi,fav,desc,imgurl
1,alexejvonjawlensky,912649296587186177,0,1,#AlexejvonJawlensky 1884-1941 https://t.co/gC1osMz1c2 via @miedavid #painters #artists #art #painting,
2,amedeomodigliani,914983484443250688,0,0,"Portrait of #MoïseKisling, oil on canvas, 1915 by #AmedeoModigliani (1884-1920). https://t.co/SRr2Evfo4b",https://pbs.twimg.com/media/DLKsmlhW4AASSgy.jpg
3,amedeomodigliani,914603677423476736,2,0,RT @fannymanty: https://t.co/4qoPSP1L4o #Icoloridellanima #Modi  #AmedeoModigliani 💋❤ https://t.co/ss8LqVmClS,https://pbs.twimg.com/media/DGE_brfXUAAcCzx.jpg
4,amedeomodigliani,914603146688819200,2,0,RT @fannymanty: https://t.co/4qoPSP1L4o #Icoloridellanima #Modi  #AmedeoModigliani 💋❤ https://t.co/ss8LqVmClS,https://pbs.twimg.com/media/DGE_brfXUAAcCzx.jpg
5,amedeomodigliani,914545384898392065,0,0,Standing Nude by Amedeo Modigliani https://t.co/QWhPsiOByo #amedeomodigliani #metmuseum https://t.co/dsom2jyeH1,https://pbs.twimg.com/media/DLEeLhKXcAAvCQ-.jpg
6,amedeomodigliani,913697386526109696,0,0,Girl in a Sailors Blouse by Amedeo Modigliani https://t.co/VZL7sh7Rd3 #amedeomodigliani #metmuseum https://t.co/uPpthjTl4V,https://pbs.twimg.com/media/DK4a7hFWAAAfrHP.jpg
7,amedeomodigliani,913642226630234113,6,0,RT @andreacollina: #AmedeoModigliani #Livorno La felicità è un Angelo dal volto Serio. https://t.co/C90N6DnQdR,https://pbs.twimg.com/media/DKwGZKuWsAAafTV.jpg
8,amedeomodigliani,913612475752382464,6,0,RT @andreacollina: #AmedeoModigliani #Livorno La felicità è un Angelo dal volto Serio. https://t.co/C90N6DnQdR,https://pbs.twimg.com/media/DKwGZKuWsAAafTV.jpg
9,amedeomodigliani,913445684711485440,6,0,RT @andreacollina: #AmedeoModigliani #Livorno La felicità è un Angelo dal volto Serio. https://t.co/C90N6DnQdR,https://pbs.twimg.com/media/DKwGZKuWsAAafTV.jpg
10,amedeomodigliani,913324891516137472,6,0,RT @andreacollina: #AmedeoModigliani #Livorno La felicità è un Angelo dal volto Serio. https://t.co/C90N6DnQdR,https://pbs.twimg.com/media/DKwGZKuWsAAafTV.jpg
11,amedeomodigliani,913156212258197505,6,0,RT @andreacollina: #AmedeoModigliani #Livorno La felicità è un Angelo dal volto Serio. https://t.co/C90N6DnQdR,https://pbs.twimg.com/media/DKwGZKuWsAAafTV.jpg
12,amedeomodigliani,913115322164678657,6,0,RT @andreacollina: #AmedeoModigliani #Livorno La felicità è un Angelo dal volto Serio. https://t.co/C90N6DnQdR,https://pbs.twimg.com/media/DKwGZKuWsAAafTV.jpg
13,amedeomodigliani,913111858403581957,6,20,#AmedeoModigliani #Livorno La felicità è un Angelo dal volto Serio. https://t.co/C90N6DnQdR,https://pbs.twimg.com/media/DKwGZKuWsAAafTV.jpg
14,amedeomodigliani,913062610098167809,0,0,Italian modern art... Amedeo Modigliani #amedeomodigliani https://t.co/Pfe8BdhtPW https://t.co/eZPCTajqxc,
15,amedeomodigliani,912273583463976960,0,0,RT anijolix: #Arte  #AmedeoModigliani • 1884.1920 https://t.co/Ycw2UamNwE,
16,amedeomodigliani,911795094918799360,0,1,"Heres Nu couché, #AmedeoModigliani s famous/infamous reclining nude painting in irregular pixelation exercise... https://t.co/e9qdIJcokR",https://pbs.twimg.com/media/DKdYTIqVwAAWTT5.jpg
17,armandguillaumin,912690890338127874,0,1,https://t.co/nqOiorPTty  #ArmandGuillaumin #art #artist 🎨🎨,
18,armandguillaumin,911978264754888706,2,0,RT @Waleed1559: #ArmandGuillaumin https://t.co/VVBTqIgCdX,https://pbs.twimg.com/media/DKf7X5uWAAA1QJk.jpg
