id,twi_acc,twi_id,retwi,fav,desc,imgurl
1,"artistklee",915698930188537856,2,0,RT @artistmasson: Pool at the Villa dEste #surrealism #andremasson https://t.co/mDtXEVB6SK,https://pbs.twimg.com/media/DLUqcOKXoAYUSff.jpg
2,"artistklee",915687706444918786,10,16,Miraculous Landing #klee #paulklee https://t.co/MB6yDWt8aX,https://pbs.twimg.com/media/DLUtHXpXcAA1UeP.jpg
3,"artistklee",915668889316597761,3,2,Phenix #paulklee #arthistory https://t.co/Iqly55BWk8,https://pbs.twimg.com/media/DLUcAFeXkAAypLO.jpg
4,"artistklee",915644418690048008,3,8,The Mask with the Little Flag https://t.co/dnCg7N0KrX #klee #cubism https://t.co/Q8BO2As33b,https://pbs.twimg.com/media/DLUFvvwW4AksY0E.jpg
5,"artistklee",915630809612156928,1,5,Man Ray @ArtistManRay #fineart #manray https://t.co/ToYPt4uVn0,https://pbs.twimg.com/media/DLT5XFMUIAAFfm5.jpg
6,"artistklee",915628526992228354,1,0,RT @artistburliuk: A Tree by the Railway #postimpressionism #burliuk https://t.co/g4Xqj9AeFb,https://pbs.twimg.com/media/DK4HiQmWkAAtbtm.jpg
7,"artistklee",915625619668574208,0,3,Hoffmanneske scene #paulklee #surrealism https://t.co/2PUk853WUZ,https://pbs.twimg.com/media/DLT0pcJXkAA5ST8.jpg
8,"artistklee",915611032160260097,4,5,Monument #arthistory #klee https://t.co/d6gnzWWpNB,https://pbs.twimg.com/media/DLTnYWvWsAEyKG-.jpg
9,"artistklee",915610669793366016,7,7,Fish Image https://t.co/h3iSCtXXSk #amazon #wallart https://t.co/J65w1HUnYB,https://pbs.twimg.com/media/DLTnDQ6XcAAe6j7.jpg
10,"artistklee",915502575906181120,14,31,Full moon #fineart #klee https://t.co/JqiOTQuHlt,https://pbs.twimg.com/media/DLSEvXgW4AALWfD.jpg
11,"artistklee",915448947279310849,5,9,Love Song by the New Moon #paulklee #arthistory https://t.co/rU7azUOJKI,https://pbs.twimg.com/media/DLRT9zbXoAABA2w.jpg
12,"artistklee",915343311799488512,8,6,With the Egg #fineart #arthistory https://t.co/pGEqcILZgk,https://pbs.twimg.com/media/DLPz4_YW4AAi4qm.jpg
13,"artistklee",915311065583505409,20,28,The messenger of autumn #arthistory #klee https://t.co/w9AyUz6eW1,https://pbs.twimg.com/media/DLPWkB2XkAEt-ld.jpg
14,"artistklee",915282406663446530,3,6,Fugue in red #fineart #abstractart https://t.co/B601KEyacH,https://pbs.twimg.com/media/DLO8f25W4AA65Vv.jpg
15,"artistklee",915261739050168320,10,14,The Saint of Inner Light #klee #expressionism https://t.co/21Jtq5saCI,https://pbs.twimg.com/media/DLOpsymXUAI9e6r.jpg
16,"artistklee",915170000671068160,7,16,Oriental Architecture #fineart #paulklee https://t.co/S5GquW7CdJ,https://pbs.twimg.com/media/DLNWQ7yXcAAteYE.jpg
17,"artistklee",915097942364704768,4,3,Rising Star #fineart #expressionism https://t.co/oJ2ZxLWwOJ,https://pbs.twimg.com/media/DLMUum9XkAA8Z6I.jpg
18,"artistklee",915071836026757120,9,0,RT @artisfridakahlo: Self Portrait Dedicated to Sigmund Firestone #naïveart #fridakahlo https://t.co/8yxFCLRCa4,https://pbs.twimg.com/media/DLGVDn7XkAE8L7f.jpg
19,"artistklee",915036791106936832,3,0,RT @artistsarian: Flowers of Sevan Pass #martirossarian #sarian https://t.co/833uPlVMfP,https://pbs.twimg.com/media/DK6XJu-WsAYGr4L.jpg
20,"artistklee",914977102688145409,0,9,Head of a child #klee #arthistory https://t.co/NHj0izykOn,https://pbs.twimg.com/media/DLKm007XcAA6ANv.jpg
21,"artistklee",914964315412803590,14,24,Dream City #arthistory #cubism https://t.co/lFdmw1H9iD,https://pbs.twimg.com/media/DLKbMhaXoAEevtL.jpg
22,"artistklee",914899971962490880,6,0,RT @artjawlensky: Blaue Vase mit Orangen #jawlensky #fineart https://t.co/2ZXKsgKLo2,https://pbs.twimg.com/media/DKv0sZ9XoAM8g7s.jpg
23,"artistklee",914884237286879232,2,4,Pious northern landscape https://t.co/dNsO7tmXLQ #cubism #fineart https://t.co/rC0SbPt1tx,https://pbs.twimg.com/media/DLJSXUfXcAAdvnw.jpg
24,"artistklee",914875531254009856,0,2,A kind of cat https://t.co/Gn2cs0Awyn #fineart #paulklee https://t.co/9zH2ETWChn,https://pbs.twimg.com/media/DLJKcnHXcAEHjKv.jpg
25,"artistklee",914872268639129600,2,2,Red and White Domes #paulklee #arthistory https://t.co/dTC51BC4s7,https://pbs.twimg.com/media/DLJHervW0AIiMxQ.jpg
