ramblingsloa||913176617316487168||The past has no power over the present moment.  Eckhart Tolle||||
ramblingsloa||913113236400111618||When you seek love with all your heart You shall find its echoes in the universe.  Rumi https://t.co/Rn0xRwQc7T||https://pbs.twimg.com/media/DKwHpe6WAAElY2r.jpg||
ramblingsloa||913071441624649728||A flower does not think of competing to the flower next to it. It just blooms.  Zen Shin https://t.co/MagdNlLR37||https://pbs.twimg.com/media/DKvhoryUEAA1szY.jpg||
ramblingsloa||913048201665679361||If you seek Peace, be still. If you seek Wisdom, be silent. If you seek Love, be yourself.  Becca Lee https://t.co/112zXIMONN||https://pbs.twimg.com/media/DKvMf97UIAAn5FC.jpg||
ramblingsloa||912990231602884608||Perhaps the butterfly is proof That you can go through a great deal of darkness, Yet become something beautiful. https://t.co/XfbNwB2AkT||https://pbs.twimg.com/media/DKuXxtaWkAILm1O.jpg||
ramblingsloa||912942456920068096||As rain falls equally on the just and the unjust Do not burden your heart with judgements But rain your kindness eq… https://t.co/GErXTnAb3W||||
ramblingsloa||912814245565407232||Nothing ever goes away until it teaches us what we need to know.  Pema Chodron||||
ramblingsloa||912754947816656896||If you change the way you look at things, The things you look at change.  Wayne Dyer https://t.co/WJkkGxdq71||https://pbs.twimg.com/media/DKrByVQXkAE6fkM.jpg||
ramblingsloa||912708763437666304||There is some good in this world, And it’s worth fighting for.  J.R.R. Tolkien https://t.co/zfcTXRCZ6N||https://pbs.twimg.com/media/DKqXyCAXoAEsraI.jpg||
ramblingsloa||912678326283702273||Forgiveness is just another word for freedom.  Byron Katie https://t.co/ToPhyQrtqb||https://pbs.twimg.com/media/DKp8GVyU8AAIv3O.jpg||
ramblingsloa||912632940156375040||Your journey will be much lighter and easier  If you don’t carry your past with you. https://t.co/G8y4b7Dv9q||https://pbs.twimg.com/media/DKpS0kLUQAAJPJZ.jpg||
ramblingsloa||912580072799969280||There shall be eternal summer in the grateful heart.  C L Thaxter https://t.co/pGK5Gnlibj||https://pbs.twimg.com/media/DKoivTKU8AA2BN_.jpg||
ramblingsloa||912451764472999937||Our time on this earth is sacred,  And we should celebrate every moment.  Paulo Coelho||||
ramblingsloa||912392534621671424||Deep in our hearts, The light of heaven is shining.  Rumi https://t.co/GiILsOai16||https://pbs.twimg.com/media/DKl4LG_WAAArWg3.jpg||
ramblingsloa||912352272654503938||Worrying does not take away tomorrow’s troubles.  It takes away today’s peace. https://t.co/9to3NKEDUy||https://pbs.twimg.com/media/DKlTjeRXkAA6wcJ.jpg||
ramblingsloa||912322082146537472||Raise your words, not voice. It is rain that grows flowers, not thunder.  Rumi https://t.co/rSzStgEKTY||https://pbs.twimg.com/media/DKk4GQqUIAIEpzY.jpg||
ramblingsloa||912291866674188288||You can always, always give something, Even if it is only kindness!  Anne Frank https://t.co/jWhoAnIuC7||https://pbs.twimg.com/media/DKkcnb5XcAAkWUj.jpg||
ramblingsloa||912264182330019840||Give every day the chance to become the most beautiful day of your life.  Mark Twain https://t.co/fBMHDNPcyk||https://pbs.twimg.com/media/DKkDcEjVYAArFx2.jpg||
ramblingsloa||912217673571893248||Wishing you all a wonderful new week. May it be everything you hope and wish for. https://t.co/ySqeMt2nz5||https://pbs.twimg.com/media/DKjZI4zXcAA2zsT.jpg||
ramblingsloa||912089401018200064||In the depth of my soul there is a wordless song.  Khalil Gibran.||||
ramblingsloa||912029008887508992||Listen with ears of tolerance. See through the eyes of compassion. Speak with the language of love.  Rumi https://t.co/VMW8aHp2IK||https://pbs.twimg.com/media/DKgtjKJVYAAb5tp.jpg||
ramblingsloa||911978568862838785||Our greatest strength, Lies in the gentleness and tenderness of our Heart.  Rumi https://t.co/W6dgJD6z04||https://pbs.twimg.com/media/DKf_rHfVwAApwXg.jpg||
ramblingsloa||911952130075963392||Let it hurt Let it bleed Let it heal And let it go. https://t.co/PBsRNgc0RI||https://pbs.twimg.com/media/DKfnoOQXoAIE2Rp.jpg||
