TheHiddenWorId||912878277206859776||Pyramids of the Kushite rulers at Meroë. 4th century BC https://t.co/4elfJOAs6E||https://pbs.twimg.com/media/DKl2yffW0AENSEj.jpg||
TheHiddenWorId||912508895007870977||Gilded Mughal jade drinking cup, India 16th-17th century https://t.co/OOyIZtgOgO||https://pbs.twimg.com/media/DKgtM3BVYAAvguL.jpg||
TheHiddenWorId||912025869031399426||The neo-baroque black hearse was built in 1876/77 for the funerals of ruling members of the Austrian imperial family https://t.co/riZLtljXCs||https://pbs.twimg.com/media/DKbjmuUXcAAskCV.jpg||
TheHiddenWorId||911759372195205120||Tudor glove with embroidered memento mori https://t.co/2nsO9iV3SW||https://pbs.twimg.com/media/DKWaCxBW4AANiQ7.jpg||
TheHiddenWorId||911034120813166592||2500 years old mummy of Scythian princess with tattoos https://t.co/pW0KHtSmd6||https://pbs.twimg.com/media/DKRQbj8V4AAPtYB.jpg||
TheHiddenWorId||910669621862195200||Roman waterspout in the form of a hound, early 1st century A.D. Terracotta https://t.co/8p1YlekJvP||https://pbs.twimg.com/media/DKMG1ORXUAEBLp-.jpg||
TheHiddenWorId||910323661080367104||British knuckle duster with blade, c. 1914-1918 https://t.co/tcemA62goJ||https://pbs.twimg.com/media/DKG9RlAW0AMj2ZG.jpg||
TheHiddenWorId||910054957281193984||A well-preserved bronze sword was unearthed in Zhoukou, Henan province, from a 2,000-year-old tomb along with other… https://t.co/ZzyEZPS3Fj||||
TheHiddenWorId||909945361896112128||A Hellenistic mosaic glass bowl, late 3rd-2nd Century B.C. https://t.co/d7SJRiLTDc||https://pbs.twimg.com/media/DKBzq6sV4AAOPLd.jpg||
TheHiddenWorId||909586127257870336||Vendel helmet: previking's warrior helmet found in grave. 7th century AD, Sweden https://t.co/ybqIir0mFC||https://pbs.twimg.com/media/DJ8qEX4W0AErnfa.jpg||
TheHiddenWorId||909231045840482304||Wine jar with turquoise glaze and gilt copper-bound mouth rim (1600-1700 AD), Jingdezhen, Jiangxi Province, China https://t.co/JsYe2sjpAQ||https://pbs.twimg.com/media/DJ3geTJU8AUySua.jpg||
TheHiddenWorId||908581611523805185||Ancient Roman lead pipes in Bath, England. Some of them are still in use. I-II century CE https://t.co/nKyuohS2qc||https://pbs.twimg.com/media/DJtNTDuWAAAyUqL.jpg||
TheHiddenWorId||908541413561733120||This globe dates to AD 1285-86 in Iran, and is the sixth oldest surviving globe in all history https://t.co/xYqlpWGkGg||https://pbs.twimg.com/media/DJoDtP0VoAAC_Fb.jpg||
TheHiddenWorId||908145693318975488||Stater of Metapontion with ear of barley and grasshopper, Greece 500–473 B.C. https://t.co/YA4NTt0DNo||https://pbs.twimg.com/media/DJi6JEGXkAAC_VG.jpg||
TheHiddenWorId||907782974216663040||Skeleton of a 8 foot tall German soldier from the 16th century https://t.co/fbJTeJ3f9P||https://pbs.twimg.com/media/DJdwiSNUMAE-Flo.jpg||
TheHiddenWorId||907069475622576128||Tsuba with design of eagle and waves, Japan 19th. c https://t.co/qmHhE7FhSj||https://pbs.twimg.com/media/DJYm8OEVoAA3oci.jpg||
TheHiddenWorId||906703850433683456||Egyptian bone or ivory figurine. Predynastic Naqada I. 4000-3600 B.C. https://t.co/QPVWY5FXj6||https://pbs.twimg.com/media/DJTdWAQX0AEGERJ.jpg||
TheHiddenWorId||906335892855336960||16th century ivory-carved salt cellar from the Kingdom of Benin in west Africa, depicting Portuguese explorers and… https://t.co/SHk60qVZgq||||
TheHiddenWorId||905979591650447360||The Tollund Man - Bog find, Denmark, 4th century BC https://t.co/ilqAjx84gV||https://pbs.twimg.com/media/DJJKLT3WsAcZRe6.jpg||
TheHiddenWorId||905606885692194816||Hare riding a hound with a trained snail of prey. Pontifical of Guillaume Durand, Avignon, before 1390 https://t.co/tkoWzF0twY||https://pbs.twimg.com/media/DJEAll1W0AUrJXj.jpg||
TheHiddenWorId||905448783864934400||The discovery of the Varna Chalcolithic Necropolis revealed proof of the oldest European civilization and the world… https://t.co/bxAwCjoMXC||||
TheHiddenWorId||905246055687528448||Caricatures doodled by future Ottoman Sultan Mehmet the Conqueror, then 10-years-old, circa 1440. He became Sultan… https://t.co/hOo1Nlwmi4||||
